name,price,price_text,image_url,description,rarity,card_url,availability,card_id
PR 才色兼備の生徒会長音姫,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10221.jpg,DC/W01-115,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10221,InStock,10221
PR 不安な幼なじみ小恋,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10222.jpg,DC/W01-116,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10222,InStock,10222
PR メイド服の音姫,500,500 円,https://card.yuyu-tei.jp/ws/front/dc/10123.jpg,DC/W01-117,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10123,InStock,10123
PR 芳乃家の居候アイシア,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10223.jpg,DC/WE01-020,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10223,OutOfStock,10223
PR たとえ好きな恋人まひる,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10224.jpg,DC/WE01-021,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10224,InStock,10224
PR 夢じゃない,220,220 円,https://card.yuyu-tei.jp/ws/front/dc/10225.jpg,DC/WE01-022,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10225,InStock,10225
PR 沢井美秋,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10226.jpg,DC/WE01-023,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10226,InStock,10226
PR デートを楽しむエリカ,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10227.jpg,DC/WE01-024,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10227,InStock,10227
PR バナナフッズエンド,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10228.jpg,DC/WE01-025,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10228,InStock,10228
PR 優等生の委員長沢井麻耶,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10229.jpg,DC/WE01-026,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10229,InStock,10229
PR 制服のキリエ,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10230.jpg,DC/WE02-027,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10230,InStock,10230
PR 制服のカイレイン,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10231.jpg,DC/WE02-028,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10231,InStock,10231
PR くつろぐカイレイン,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10232.jpg,DC/WE02-029,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10232,OutOfStock,10232
PR 制服のミコト,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10233.jpg,DC/WE02-030,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10233,InStock,10233
PR 制服のエリス,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10234.jpg,DC/WE02-031,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10234,InStock,10234
PR 小さな幼なじみ小恋,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10235.jpg,DC/WE02-032,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10235,InStock,10235
PR 佇むアイシア,220,220 円,https://card.yuyu-tei.jp/ws/front/dc/10182.jpg,DC/WE02-033,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10182,OutOfStock,10182
PR D.C.toVCRADIO,1480,1480 円,https://card.yuyu-tei.jp/ws/front/dc/10236.jpg,DC/WE02-034,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10236,InStock,10236
